Headline
Kill your Feeds – Stop letting algorithms dictate what you think
AI tools are spotting errors in research papers: inside a growing movement
Discovering Errors in Donald Knuth's Taocp
The program is the database is the interface
Discworld Rules
You might not need Redis
Kagi Is Bringing Orion Web Browser to Linux
Deploy from local to production (self-hosted)
"Google will still have to break up its business, the Justice Department said"
Spark-TTS: Text-2-Speech Model Single-Stream Decoupled Tokens [pdf]
Spice Data (YC S19) Is Hiring a Founding Senior/Staff Software Engineer
Show HN: I built a tool to detect scams
Long Read: Lessons from Building Semantic Search for GitHub and Why I Failed
"Ultrasonic deep drawing cuts friction by 20%, extends tool lifespan"
Feds arrest man for sharing DVD rip of Spider-Man movie with millions online
An epic treatise on error models for systems programming languages
Explore Sutro Tower
The Hierarchy of Hazard Controls
Falkon: A KDE Web Browser
Show HN: Open-Source DocumentAI with Ollama
AI models makes precise copies of cuneiform characters
Valentin Hansen: Creating an Infinite Sound
"""Wooly mice"" a test run for mammoth gene editing"
Sam Bankman-Fried thrown into solitary over Tucker Carlson interview: report
Introducing command And commandfor In HTML
Forces deep underground seem to be deforming Earth's inner core
"Mountains, Cliffs, and Caves: A Guide to Using Perlin Noise for Procedural Gen"
Cat-Eared Robots Are Waiting Tables in Japan's Restaurants
Undocumented backdoor found in Bluetooth chip used by a billion devices
"Ask HN: Do your eyes bug you even though your prescription is ""correct""?"
Vtm: Text-Based Desktop Environment
"Show HN: I built didtheyghost.me, open-source tool for your next job search"
Letta: Letta is a framework for creating LLM services with memory
Gene-edited non-browning banana could cut food waste
What We Lose When Our Memories Exist in Our Phones
Body Doubling
Tesla car battery catches fire as crews demolish home damaged in prev blaz
Age Verification Laws: A Backdoor to Surveillance
The features of Python's help() function
Feds Link Cyberheist to 2022 LastPass Hacks
Optimistic Locking in B-Trees
Athena spacecraft declared dead after toppling over on moon
How did places like Bell Labs know how to ask the right questions? (2023)
Strobelight: A profiling service built on open source technology
'Next-Level' Chaos Traces the True Limit of Predictability
Masters of None: The Flawed Logic of One-Size-Fits-All Education
Leave It to Manus
Matters Computational (2010) [pdf]
Portable MRI Scans Patients for Signs of Stroke
Standards for ANSI Escape Codes
Ask HN: Is Cursor deleting working code for you too or is it just me?
Integrated sensing and communication based on space-time-coding metasurfaces
Betting on the Pope was the original prediction market
Postgres Just Cracked the Top Fastest Databases for Analytics
GeoCities in 1995: Building a Home Page on the Internet
"Sex Traffickers in Colombia Using Facebook, Tinder and Airbnb to Exploit Minors"
56k modems relied on digital trunk lines
Ladder: Self-improving LLMs through recursive problem decomposition
Show HN: IEMidi –  Cross-platform MIDI map editor for arbitrary controllers
Microsoft is plotting a future without OpenAI
Microsoft is plotting a future without OpenAI
Ask HN: How did the internet discover my subdomain?
Why most countries are struggling to shut down 2G
Show HN: I Built a Telegraph Simulator
"Natural occurring molecule rivals Ozempic in weight loss, sidesteps side effects"
Daylight saving time and early school start times cost billions
Differentiable Logic Cellular Automata
Europe's most wanted man plotted my murder and that of my colleague
When Did I Start Getting Cancer?
"NCSC, GCHQ, UK Gov't expunge advice to “use Apple encryption”"
Succinct data structures
The intent paradox of AI generated code
The necessity of Nussbaum
Extracting time series features: a powerful method from a obscure paper [pdf]
Launch HN: Cenote (YC W25) – Back Office Automation for Medical Clinics
"Europe's largest battery site goes live in Scotland, boosting UK energy grid"
Anime fans stumbled upon a mathematical proof
Show HN: Shelgon: A Framework for Building Interactive REPL Shells in Rust
Show HN: A big tech dev experience for an open source CMS
Apple M3 Ultra
On the criteria to be used in decomposing systems into modules (1972)
Speeding up computational lithography with the power and parallelism of GPUs
Mistral OCR
Laser-based device can scan almost any sample of gas and tell you what's in it
Ereader Easy Swedish
Virtual Punch Card Creator
Some thoughts on autoregressive models
419 witter accounts that posted on Brexit were localized to Russia
A Scientific American bolt puzzle
Apple has 90 days to allow app sideloading in Brazil
